replicateid,population,beta,eir,pfprunder5,pfpr2to10,pfprall
1410,200,0,0,0,0,0
1533,200,0,0,0,0,0
1536,200,0.001,0,0,0,0
1540,200,0.002,0,0,0,0
1537,200,0.003,0,0,0,0
1538,200,0.004,0,0,0,0
1539,200,0.005,0,0,0,0
1541,200,0.006,0,0,0,0
1544,200,0.007,0,0,0,0
1545,200,0.008,0,0,0,0
1542,200,0.009,0,0,0,0
1543,200,0.01,0,0,0,0
1409,200,0.05,2.35405,15.1459933333333,13.51908,12.1370008333333
2902,200,0.05,3.66269,15.0005575,12.3294466666667,10.7359533333333
2898,200,0.051,5.70912,24.9682083333333,17.8632091666667,13.3197266666667
2904,200,0.052,5.11065,13.4088108333333,12.0171291666667,10.3191233333333
2899,200,0.053,3.37295,25.67965,21.4236,13.790675
2900,200,0.054,4.72224,24.1833633333333,12.6059433333333,10.3793975
2910,200,0.055,0,0,0,0
2903,200,0.056,4.38538,28.8097666666667,21.5212433333333,15.5930333333333
2906,200,0.057,3.98425,26.2749416666667,17.582125,14.1641166666667
2907,200,0.058,2.5021,17.9893366666667,15.7070691666667,15.2069683333333
2908,200,0.059,4.74425,7.30216666666667,8.997485,8.30832666666667
2909,200,0.06,2.54297,36.1652083333333,29.2311416666667,19.9591916666667
2905,200,0.061,3.98408,17.540225,14.9172225,12.0856283333333
2911,200,0.062,3.94851,12.7480158333333,17.1771908333333,10.3009025
2912,200,0.063,3.05033,23.8390125,18.8943166666667,17.1298166666667
2913,200,0.064,3.68673,17.904985,19.7900833333333,14.2093783333333
2914,200,0.065,7.45986,39.2105,29.7043166666667,18.7450083333333
2915,200,0.066,4.73715,23.52085,18.3183833333333,11.8395683333333
2916,200,0.067,6.47256,25.2083216666667,24.1602216666667,14.0642358333333
2917,200,0.068,3.27261,38.6160666666667,31.3308675,19.966635
2918,200,0.069,4.99868,27.538125,25.5783083333333,16.5609583333333
2919,200,0.07,7.3952,45.96495,33.8462583333333,17.0245416666667
2926,200,0.071,7.51774,40.5030166666667,29.661025,17.9758083333333
2925,200,0.072,4.57983,42.857125,27.9513916666667,19.2131566666667
2920,200,0.073,0.0257213,0,0,0
2921,200,0.074,4.39661,31.2836,23.6469525,16.7523833333333
2922,200,0.075,4.62105,16.979855,12.9927075,14.9437658333333
2923,200,0.076,6.55219,25.3782583333333,17.5523466666667,13.7633258333333
2924,200,0.077,8.60381,33.600825,23.1807833333333,18.2331083333333
2927,200,0.078,7.64929,21.8846166666667,19.9015166666667,16.9440083333333
2930,200,0.079,7.75852,35.0803083333333,22.8643691666667,17.2519416666667
2928,200,0.08,7.32278,37.5817,29.8340333333333,17.9843583333333
2929,200,0.081,6.24087,21.4285675,10.88116,12.2679758333333
2931,200,0.082,6.27901,27.3766166666667,22.400975,15.9757
2932,200,0.083,6.20123,38.5502833333333,26.5592833333333,20.26985
2933,200,0.084,5.3266,25.0927758333333,18.312775,14.8364091666667
2934,200,0.085,4.42578,28.15475,20.874,18.3704216666667
2935,200,0.086,5.00731,27.4763258333333,20.3618233333333,16.8990508333333
2936,200,0.087,6.24401,29.4431166666667,22.3022333333333,15.78505
2937,200,0.088,8.35172,29.7156208333333,22.531675,13.3937316666667
2938,200,0.089,4.50384,48.5947,38.093575,26.79495
2939,200,0.09,9.49657,20.5013833333333,15.7159091666667,11.6530508333333
2945,200,0.091,8.57757,43.4871083333333,25.9771083333333,21.002025
2946,200,0.092,8.9728,22.3748341666667,17.9492883333333,12.2617366666667
2940,200,0.093,8.08885,15.7676933333333,16.4045475,12.2805275
2941,200,0.094,7.96804,13.1395425,12.6343983333333,11.0306658333333
2942,200,0.095,9.59697,29.9512916666667,21.0233916666667,15.859525
2943,200,0.096,9.49242,37.5953166666667,27.2856,18.4848116666667
2944,200,0.097,8.86852,26.3485083333333,20.4528083333333,16.7414166666667
2951,200,0.098,13.0854,54.02015,34.2762916666667,18.8419833333333
2952,200,0.099,5.70533,25.3581166666667,28.0843925,15.8592583333333
2947,200,0.1,5.68219,28.0715833333333,25.37395,18.01405
1416,200,0.1,9.66681,29.7832666666667,24.3953425,13.1987791666667
2948,200,0.101,9.72355,32.3923583333333,23.8863083333333,16.563
