replicateid,population,beta,eir,pfprunder5,pfpr2to10,pfprall
8266,797,0.158,15.6415,39.0489583333333,31.8987,20.1615916666667
8205,797,0.099,8.12007,39.8065583333333,32.0161,21.1317083333333
8264,797,0.159,10.2948,41.8557583333333,32.0773583333333,21.6451
8340,797,0.235,21.2427,47.253575,32.0808916666667,22.679525
8346,797,0.24,18.249,48.1380333333333,32.086575,21.860375
8274,797,0.169,16.2279,41.325025,32.16125,20.5992166666667
8243,797,0.133,11.7112,43.1007583333333,32.2970833333333,20.6814666666667
8223,797,0.117,10.8145,41.4619333333333,32.316625,20.1851833333333
8226,797,0.122,10.3468,42.22795,32.3914916666667,21.5428166666667
8287,797,0.181,13.2736,48.5758333333333,32.4107833333333,23.400275
8281,797,0.175,14.3757,45.0319,32.6644833333333,22.8826833333333
8293,797,0.188,15.9246,46.6155583333333,32.6688916666667,22.5491583333333
8228,797,0.124,9.50335,40.4678333333333,33.05325,21.28685
8277,797,0.168,13.7737,46.831275,33.0836583333333,22.391125
8334,797,0.228,20.7008,47.6174916666667,33.1283166666667,22.3737916666667
8279,797,0.173,13.1979,46.6471583333333,33.1497333333333,20.566225
8304,797,0.196,18.2781,45.0819416666667,33.1544583333333,20.9234166666667
8369,797,0.264,24.3743,44.9458,33.1693333333333,23.2803583333333
8363,797,0.258,22.9489,50.2760666666667,33.1960833333333,20.968125
8428,797,0.32,23.037,44.7141333333333,33.3761166666667,21.895875
8275,797,0.17,12.8285,51.7518333333333,33.3912916666667,23.88465
8308,797,0.202,19.4629,48.251,33.4393833333333,21.35835
8328,797,0.221,19.083,46.9554833333333,33.52035,22.655625
8306,797,0.2,19.0659,48.6394,33.56135,22.956725
8333,797,0.227,21.0597,50.8775916666667,33.6319666666667,21.7973833333333
8263,797,0.155,14.0353,44.35,33.8187666666667,20.2068833333333
8307,797,0.201,20.8461,44.0532833333333,33.8604083333333,20.0535916666667
8329,797,0.224,18.0776,49.2519916666667,33.918125,22.3577083333333
8367,797,0.261,17.4617,44.2571416666667,34.1156666666667,22.6779166666667
8330,797,0.225,19.1835,48.2694833333333,34.35105,23.3273
8397,797,0.292,29.9568,53.7157833333333,34.4226166666667,23.4775166666667
8290,797,0.183,14.7013,44.2790833333333,34.4483666666667,23.07625
8314,797,0.208,16.9601,42.7372833333333,34.4688416666667,21.5524166666667
8249,797,0.14,12.9956,45.1137083333333,34.5196416666667,21.3854916666667
8324,797,0.22,22.5125,51.00295,34.614925,22.141675
8257,797,0.151,14.8761,48.6024166666667,34.6717583333333,20.7714833333333
8345,797,0.239,17.6969,45.70155,34.8669416666667,24.1179666666667
8268,797,0.164,14.5097,46.2498166666667,34.8769916666667,21.0321
8300,797,0.194,18.048,48.1528333333333,35.008375,23.1024333333333
8364,797,0.259,27.7367,57.0332583333333,35.1478583333333,24.9787
8317,797,0.211,16.7768,45.33715,35.2437083333333,21.472225
8339,797,0.234,18.8378,53.0467166666667,35.3302166666667,23.72865
8323,797,0.217,18.362,49.0386333333333,35.3475333333333,23.1373833333333
8289,797,0.185,15.3038,46.2906416666667,35.3575333333333,20.5652333333333
8351,797,0.245,19.3278,44.5864833333333,35.3913,22.8250166666667
8294,797,0.189,16.7393,49.7609,35.4182083333333,24.2782
8376,797,0.27,21.7636,52.9060083333333,35.4592,23.9722083333333
8350,797,0.241,20.9493,48.0544333333333,35.5811,22.289975
8353,797,0.252,19.9048,56.1066083333333,35.626675,24.963925
8310,797,0.205,18.1604,55.8606916666667,35.6543166666667,25.2265416666667
8267,797,0.161,13.0421,47.0299833333333,35.7303833333333,23.3313083333333
8322,797,0.213,23.0406,46.7599416666667,35.7483166666667,22.356775
8327,797,0.219,21.0823,48.5114,35.8144666666667,23.1100333333333
8349,797,0.244,24.5479,51.525875,35.9731416666667,23.4187333333333
8302,797,0.198,16.2756,46.9314333333333,36.0602083333333,23.0504583333333
8256,797,0.15,15.397,49.921025,36.08035,21.3862
8348,797,0.243,21.8332,51.1223833333333,36.2437916666667,23.5176916666667
8386,797,0.281,23.0118,53.7536666666667,36.3415166666667,24.4521416666667
8325,797,0.222,24.6721,49.4392083333333,36.3959,23.381
8297,797,0.192,19.2843,48.51435,36.50715,21.6207833333333
8382,797,0.276,22.6056,55.3053,36.51955,26.394225
8276,797,0.171,14.9547,47.1951166666667,36.5236,22.2929333333333
8366,797,0.26,21.9828,52.1580166666667,36.5366666666667,23.455075
8286,797,0.18,15.5653,52.7745583333333,36.5574833333333,21.1849916666667
8355,797,0.248,24.3161,45.9914166666667,36.84885,22.854025
8343,797,0.236,21.656,46.9836333333333,36.9001916666667,22.5280583333333
8365,797,0.256,23.7745,49.4957083333333,36.93485,22.0017166666667
8406,797,0.3,25.3759,53.4261,37.001825,25.0458
8410,797,0.304,31.4796,58.9235,37.0179916666667,23.7180166666667
8335,797,0.229,21.866,52.4133166666667,37.02705,23.112325
8375,797,0.268,23.0476,47.0432,37.0558583333333,22.8104583333333
8442,797,0.332,25.2432,57.81255,37.0697833333333,26.6401416666667
8357,797,0.253,23.139,51.7016333333333,37.1804666666667,23.3228583333333
8383,797,0.277,25.5991,51.3730166666667,37.2021333333333,23.52775
8331,797,0.226,18.4307,52.985825,37.2178333333333,24.0514666666667
8399,797,0.294,28.6846,54.1520916666667,37.2278166666667,25.7499666666667
8497,797,0.394,34.7665,60.0621333333333,37.33555,25.9909833333333
8271,797,0.162,17.8803,50.9500083333333,37.424275,23.0819166666667
8401,797,0.296,28.4884,58.06505,37.4693916666667,23.7221583333333
8370,797,0.262,28.2456,51.6870333333333,37.5650416666667,23.2895916666667
8438,797,0.334,30.3154,58.844575,37.6047666666667,25.8752416666667
8338,797,0.233,21.6416,56.5455583333333,37.7621583333333,26.434825
8332,797,0.223,18.4331,48.5565083333333,37.7624333333333,24.2070583333333
8298,797,0.191,18.9549,54.03405,37.8001,25.065225
8359,797,0.251,24.1261,47.65215,38.019825,23.4554916666667
8435,797,0.329,31.0978,56.691825,38.0552333333333,23.7062583333333
8379,797,0.274,22.8671,54.212525,38.1327,25.3914166666667
8316,797,0.21,21.1973,51.4442166666667,38.2540583333333,23.2842833333333
8378,797,0.275,25.7104,54.8965916666667,38.3138583333333,23.8397666666667
8384,797,0.279,32.2598,58.8115083333333,38.3334083333333,25.0490666666667
8292,797,0.186,20.0677,55.1949666666667,38.4015166666667,24.1799333333333
8419,797,0.313,26.4188,62.940175,38.4361833333333,24.934825
8414,797,0.307,31.1061,54.6663,38.476325,23.2656
8536,797,0.433,39.4446,62.956875,38.4968666666667,25.603675
8392,797,0.289,26.6814,56.090975,38.580425,24.0168083333333
8480,797,0.378,38.9289,63.5915166666667,38.6265916666667,26.1006833333333
8347,797,0.242,21.6144,56.438575,38.705725,23.0158833333333
8396,797,0.29,29.1394,55.9410583333333,38.72545,27.1181666666667
8326,797,0.218,22.2554,52.8165166666667,38.9625416666667,25.0972
8405,797,0.299,28.7248,57.179525,38.9832166666667,24.2976583333333
8342,797,0.237,23.3429,50.492025,39.2468333333333,21.9105333333333
8409,797,0.303,29.5058,62.9572083333333,39.2958583333333,26.6362
8380,797,0.272,27.5118,58.2480833333333,39.341425,22.8392083333333
8360,797,0.254,21.4806,51.5905583333333,39.3466833333333,22.808275
8426,797,0.316,24.5906,57.1078833333333,39.3593666666667,25.5864166666667
8429,797,0.317,29.8579,52.0215,39.3900916666667,24.4583416666667
8418,797,0.312,26.4795,58.14505,39.491975,24.92015
8377,797,0.271,24.3734,54.4699916666667,39.57035,24.1194916666667
8374,797,0.269,23.5538,56.2549583333333,39.580775,23.505675
8431,797,0.323,32.0355,57.524825,39.5978583333333,25.814375
8407,797,0.301,28.28,60.1379833333333,39.7322583333333,25.1596666666667
8437,797,0.333,34.6501,58.3302833333333,39.7834,24.197475
8439,797,0.337,37.1833,63.1017416666667,39.7913833333333,25.9187
8502,797,0.395,38.2249,60.7116083333333,39.7934416666667,25.345125
8472,797,0.366,34.1632,60.06325,39.8710416666667,23.7578083333333
8413,797,0.311,28.5241,59.5871166666667,39.9534,25.8135416666667
8408,797,0.302,26.9874,62.613425,40.0702083333333,26.6702166666667
8311,797,0.206,17.5337,49.861225,40.0856333333333,23.7257583333333
8389,797,0.283,27.235,56.9213833333333,40.1305833333333,25.260925
8402,797,0.297,25.1704,59.810825,40.2028666666667,26.0518166666667
8443,797,0.335,29.7627,59.6192833333333,40.2379916666667,26.7387583333333
8344,797,0.238,24.491,61.1070333333333,40.2771916666667,24.06225
8454,797,0.348,31.3766,57.2471583333333,40.3120666666667,26.9644583333333
8354,797,0.247,22.5373,60.23265,40.3591666666667,25.0309333333333
8421,797,0.315,27.6392,58.3806666666667,40.3791416666667,26.1754333333333
8381,797,0.273,24.3593,54.8745083333333,40.383925,24.4437833333333
8517,797,0.41,39.5766,68.2944416666667,40.392,28.3443
8527,797,0.421,40.261,57.3921833333333,40.3988416666667,26.2520416666667
8273,797,0.167,17.4915,53.566825,40.4695666666667,24.4468916666667
8561,797,0.451,43.5769,67.2882583333333,40.556075,27.2848333333333
8423,797,0.321,32.0596,52.2313416666667,40.5932416666667,24.323925
8422,797,0.318,28.7516,57.4692333333333,40.6516583333333,25.2721083333333
8537,797,0.434,39.2566,59.0233583333333,40.7962,25.0163833333333
8295,797,0.187,19.2748,49.9490416666667,40.8305583333333,21.397475
8450,797,0.343,35.4465,65.29405,40.8374333333333,27.82975
8484,797,0.375,34.9376,62.5381083333333,40.9462416666667,24.817575
8425,797,0.325,33.8928,57.8654583333333,41.01,26.4106666666667
8336,797,0.23,24.7051,61.3259333333333,41.0483333333333,25.4319833333333
8403,797,0.298,25.9043,62.0396833333333,41.1539,24.9983583333333
8391,797,0.288,25.2747,55.1599083333333,41.1756833333333,26.5254416666667
8458,797,0.354,35.7562,60.511025,41.2215,24.8693916666667
8461,797,0.35,28.5331,57.3773166666667,41.2466333333333,25.0216
8455,797,0.349,31.4661,64.4851166666667,41.2665333333333,24.682125
8459,797,0.357,38.092,62.772,41.3067666666667,25.0753
8436,797,0.33,30.8599,64.9317166666667,41.30945,26.3380833333333
8398,797,0.293,26.1641,63.3976916666667,41.3233916666667,27.8498916666667
8525,797,0.419,35.6446,61.4521333333333,41.3278416666667,27.0890416666667
8318,797,0.214,15.545,52.2750833333333,41.37685,25.92585
8415,797,0.306,31.1666,64.7533,41.3873416666667,26.8634833333333
8387,797,0.278,27.358,53.7185,41.3885916666667,24.2721416666667
8453,797,0.347,28.2023,57.5006416666667,41.4241583333333,26.6232666666667
8352,797,0.246,25.3831,58.6158583333333,41.4381833333333,24.506325
8372,797,0.265,23.0947,53.7762083333333,41.4572166666667,24.3245333333333
8368,797,0.267,27.3689,58.0607166666667,41.4644666666667,25.3529083333333
8416,797,0.309,30.6199,64.0573833333333,41.5064333333333,26.4035
8434,797,0.328,26.4514,56.8295666666667,41.5081333333333,25.3823583333333
8445,797,0.338,33.9276,60.9645916666667,41.7252416666667,25.9203416666667
8495,797,0.389,38.0785,63.5411583333333,41.780775,25.79505
8371,797,0.263,25.8385,58.809625,41.7976583333333,25.6892
8465,797,0.359,38.6413,59.75315,42.0761416666667,26.5911166666667
8356,797,0.249,23.1758,59.5658083333333,42.0839666666667,25.1730583333333
8361,797,0.255,23.859,58.204375,42.1668166666667,27.030025
8531,797,0.429,31.5116,64.583575,42.1983583333333,26.5535666666667
8504,797,0.397,34.8597,61.819825,42.2592083333333,27.2285583333333
8585,797,0.477,43.799,66.2446416666667,42.2657416666667,29.23855
8385,797,0.28,24.1373,54.7183333333333,42.3125666666667,26.6870916666667
8511,797,0.407,35.3648,61.4537666666667,42.3563916666667,26.34435
8432,797,0.326,29.3253,62.0817583333333,42.41275,27.0021833333333
8449,797,0.344,32.4203,63.6791583333333,42.6517,24.944125
8469,797,0.363,46.707,67.7961583333333,42.7252083333333,28.0058333333333
8607,797,0.503,47.5178,67.0485833333333,42.84705,25.8617916666667
8388,797,0.282,24.2566,66.0173833333333,42.8601333333333,27.1942083333333
8580,797,0.474,51.3103,70.229175,42.9031583333333,27.239575
8631,797,0.524,46.3799,68.5919416666667,42.9133666666667,28.5699916666667
8424,797,0.324,30.2253,59.1789916666667,42.9138166666667,25.0255
8373,797,0.266,30.1785,58.8691,42.9460333333333,25.7042083333333
8456,797,0.352,36.8979,63.836975,42.993375,26.7612666666667
8529,797,0.425,46.4727,66.972525,42.99755,25.78845
8433,797,0.327,35.9882,62.998525,43.0741416666667,25.03165
8558,797,0.455,39.6746,64.6937583333333,43.1166166666667,26.6437083333333
8448,797,0.342,27.7873,62.0268666666667,43.1384166666667,25.5759083333333
8483,797,0.376,35.8641,63.311875,43.1645333333333,26.5438916666667
8362,797,0.257,23.4871,58.870625,43.2053666666667,25.8660666666667
8606,797,0.502,44.7305,65.9553166666667,43.2308166666667,28.1272833333333
8476,797,0.372,42.8127,65.3214916666667,43.3067916666667,26.6186083333333
8593,797,0.489,51.8188,68.783075,43.3702833333333,26.90295
8485,797,0.379,32.6996,68.1858833333333,43.4113333333333,26.7111416666667
8463,797,0.355,29.5374,67.417925,43.4804083333333,30.3840083333333
8488,797,0.382,45.3033,71.5826333333333,43.5361166666667,28.4691333333333
8499,797,0.398,39.8412,62.6899416666667,43.5812333333333,25.933
8545,797,0.439,39.6909,65.5227416666667,43.6141333333333,28.0129
8390,797,0.287,27.8221,62.221475,43.6634583333333,26.0604083333333
8481,797,0.371,31.4997,66.7508416666667,43.6786083333333,26.5011083333333
8412,797,0.308,22.1997,65.491175,43.7566,29.6490666666667
8564,797,0.459,40.1141,63.06085,43.8267,26.3441
8400,797,0.295,30.9833,63.105925,43.871425,26.114475
8475,797,0.369,32.5955,68.1434333333333,43.8883583333333,29.1601083333333
8394,797,0.285,29.1778,59.7482,43.906925,25.06555
8709,797,0.605,62.6365,74.8686083333333,44.0624,30.395
8514,797,0.405,39.2892,68.004575,44.250825,28.079575
8467,797,0.361,33.4273,63.381525,44.3509916666667,28.6703916666667
8528,797,0.424,38.1325,57.5936416666667,44.3807916666667,26.4864583333333
8562,797,0.457,46.3687,66.1219833333333,44.3857666666667,29.223525
8509,797,0.403,36.0676,70.5363333333333,44.3972666666667,29.4693833333333
8543,797,0.432,40.4241,59.0583416666667,44.4538,25.2174583333333
8427,797,0.319,31.0328,64.0086416666667,44.5253,26.8394833333333
8452,797,0.346,38.2798,67.0574666666667,44.52645,26.0370166666667
8470,797,0.364,47.4118,70.627075,44.6105083333333,28.7548916666667
8548,797,0.444,47.3243,66.6073166666667,44.6184583333333,27.2973666666667
8770,797,0.66,82.7008,71.2865416666667,44.6796,29.4209833333333
8557,797,0.454,48.4947,73.9212666666667,44.7523833333333,28.0997916666667
8404,797,0.291,29.1999,63.4943,44.8242833333333,26.0681083333333
8500,797,0.391,37.5295,62.8011916666667,44.859275,26.8626083333333
8395,797,0.286,28.8021,66.2653,44.9030666666667,28.3558083333333
8595,797,0.487,46.1279,69.1696416666667,44.9175666666667,26.7819416666667
8707,797,0.601,57.7418,70.5399083333333,44.937825,29.0641666666667
8534,797,0.427,45.242,68.294325,44.9522083333333,27.3992333333333
8572,797,0.466,38.5124,64.6581333333333,44.9705916666667,28.3105083333333
8464,797,0.356,35.0239,64.031525,45.000425,24.4203583333333
8468,797,0.362,29.6984,60.626975,45.0130083333333,24.9996
8508,797,0.402,42.681,66.433575,45.05445,26.7649583333333
8510,797,0.406,33.0796,66.5352916666667,45.1740333333333,27.971675
8549,797,0.445,42.1076,63.1938083333333,45.177025,26.7388083333333
8393,797,0.284,32.8317,60.6696083333333,45.2169416666667,27.3642666666667
8507,797,0.401,31.2026,57.9106833333333,45.24115,26.0624583333333
8579,797,0.473,43.7799,67.514075,45.2717833333333,29.1060166666667
8478,797,0.374,38.2597,61.066575,45.28555,26.1001083333333
8582,797,0.475,48.2457,68.6445416666667,45.28675,30.3333916666667
8477,797,0.373,37.3675,62.1497833333333,45.3109416666667,25.7645666666667
8722,797,0.615,60.1742,74.2490166666666,45.3182833333333,30.03975
8490,797,0.384,37.4953,67.8261916666667,45.390125,27.1926416666667
8441,797,0.34,29.0956,61.9296333333333,45.3922416666667,25.91025
8563,797,0.458,46.0243,68.6145083333333,45.4280416666667,28.3981083333333
8568,797,0.462,50.1583,71.5486166666667,45.514525,27.7525583333333
8552,797,0.447,45.3611,72.2828,45.5951416666667,27.5060666666667
8462,797,0.351,43.2501,65.6971583333333,45.6275666666667,27.389775
8491,797,0.385,35.0067,62.0633416666667,45.6961333333333,26.1980166666667
8492,797,0.386,35.3753,64.1692083333333,45.76355,29.1301333333333
8496,797,0.392,42.5461,77.4708916666667,45.7916666666667,28.2386916666667
8559,797,0.45,39.1214,63.036175,45.7955833333333,26.03225
8675,797,0.565,62.0003,76.2101333333333,45.8060916666667,30.8456583333333
