rho,source,destination,count
0.2,7,5,268
0.2,7,6,226
0.2,7,7,1876
0.2,7,8,1358
0.2,7,9,1016
0.2,7,10,119
0.2,7,11,143
0.2,7,12,56
0.2,7,13,64
0.2,7,14,115
0.2,7,15,99
0.2,7,16,67
0.2,7,17,93
0.2,7,18,51
0.2,7,19,143
0.2,7,20,65
0.2,7,21,130
0.2,7,22,86
0.2,7,23,104
0.2,7,24,127
0.2,7,25,206
0.2,7,26,331
0.2,7,27,167
0.2,7,28,1306
0.2,7,29,164
0.2,7,30,1455
0.2,7,31,896
0.2,7,32,494
0.2,7,33,100
0.2,7,34,167
0.2,7,35,74
0.2,7,36,73
0.2,7,37,101
0.2,7,38,53
0.2,7,39,85
0.2,7,40,73
0.2,7,41,169
0.2,7,42,190
0.2,7,43,177
0.2,7,44,268
0.2,7,45,242
0.2,8,1,2072
0.2,8,2,4195
0.2,8,3,1261
0.2,8,4,1603
0.2,8,5,2005
0.2,8,6,1108
0.2,8,7,2218
0.2,8,8,52744
0.2,8,9,6964
0.2,8,10,911
0.2,8,11,1022
0.2,8,12,308
0.2,8,13,577
0.2,8,14,1468
0.2,8,15,710
0.2,8,16,417
0.2,8,17,627
0.2,8,18,497
0.2,8,19,1048
0.2,8,20,568
0.2,8,21,776
0.2,8,22,464
0.2,8,23,584
0.2,8,24,836
0.2,8,25,1588
0.2,8,26,7546
0.2,8,27,2091
0.2,8,28,13176
0.2,8,29,659
0.2,8,30,3922
0.2,8,31,1704
0.2,8,32,2332
0.2,8,33,545
0.2,8,34,923
0.2,8,35,496
0.2,8,36,539
0.2,8,37,624
0.2,8,38,396
0.2,8,39,716
0.2,8,40,663
0.2,8,41,1547
0.2,8,42,1643
0.2,8,43,1592
0.2,8,44,2964
0.2,8,45,4305
0.2,9,1,1755
0.2,9,2,1976
0.2,9,3,392
0.2,9,4,590
0.2,9,5,909
0.2,9,6,516
0.2,9,7,926
0.2,9,8,3618
0.2,9,9,6354
0.2,9,10,281
0.2,9,11,337
0.2,9,12,108
0.2,9,13,172
0.2,9,14,356
0.2,9,15,236
0.2,9,16,156
0.2,9,17,201
0.2,9,18,136
0.2,9,19,376
0.2,9,20,162
0.2,9,21,291
0.2,9,22,198
0.2,9,23,214
0.2,9,24,249
0.2,9,25,504
0.2,9,26,751
0.2,9,27,254
0.2,9,28,1622
0.2,9,29,175
0.2,9,30,1069
0.2,9,31,1272
0.2,9,32,1142
0.2,9,33,231
0.2,9,34,314
0.2,9,35,145
0.2,9,36,176
0.2,9,37,183
0.2,9,38,138
0.2,9,39,195
0.2,9,40,202
0.2,9,41,415
0.2,9,42,472
0.2,9,43,512
0.2,9,44,821
0.2,9,45,916
0.2,10,1,247
0.2,10,2,482
0.2,10,3,275
0.2,10,4,673
0.2,10,5,488
0.2,10,6,481
0.2,10,7,129
0.2,10,8,560
0.2,10,9,319
0.2,10,10,11680
0.2,10,11,3452
0.2,10,12,1851
0.2,10,13,1929
0.2,10,14,880
0.2,10,15,1429
0.2,10,16,294
0.2,10,17,795
0.2,10,18,300
0.2,10,19,576
0.2,10,20,227
0.2,10,21,615
0.2,10,22,529
0.2,10,23,587
0.2,10,24,4263
0.2,10,25,3044
0.2,10,26,224
0.2,10,27,113
0.2,10,28,481
0.2,10,29,73
0.2,10,30,345
0.2,10,31,195
0.2,10,32,593
0.2,10,33,350
0.2,10,34,1327
0.2,10,35,774
0.2,10,36,785
0.2,10,37,1169
